GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
378063,GUARDIAN_END,1481
378063,FRAME_START,0
378081,GUARDIAN_START,0
378083,GUARDIAN_END,1481
378083,FRAME_START,0
378101,GUARDIAN_START,0
378103,GUARDIAN_END,1481
378103,FRAME_START,0
378121,GUARDIAN_START,0
378123,GUARDIAN_END,1481
378123,FRAME_START,0
378141,GUARDIAN_START,0
378143,GUARDIAN_END,1481
378143,FRAME_START,0
378161,GUARDIAN_START,0
378163,GUARDIAN_END,1482
378163,FRAME_START,0
378181,GUARDIAN_START,0
378183,GUARDIAN_END,1480
378183,FRAME_START,0
378201,GUARDIAN_START,0
378203,GUARDIAN_END,1481
RAW: min=   -57 max=    23 samples[0..3]=-36 -37 -42 -42
RES0: min=    -3 max=     2
GATE: ABORT conf= 15 E=    0 C=  3006 ZCR= 11 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1524us avg=1481us duty=0.74% irq_lat_avg=1ms irq_lat_max=20ms
DEADLINE: misses=25/15250  miss_rate=0.16%
378537,FRAME_START,0
378546,GUARDIAN_START,0
378547,GUARDIAN_END,1481
378547,FRAME_START,0
378548,GUARDIAN_START,0
378549,GUARDIAN_END,1481
378549,FRAME_START,0
378550,GUARDIAN_START,0
378552,GUARDIAN_END,1481
378552,FRAME_START,0
378553,GUARDIAN_START,0
378554,GUARDIAN_END,1481
378554,FRAME_START,0
378555,GUARDIAN_START,0
378557,GUARDIAN_END,1481
378557,FRAME_START,0
378561,GUARDIAN_START,0
378563,GUARDIAN_END,1481
378563,FRAME_START,0
378581,GUARDIAN_START,0
378583,GUARDIAN_END,1481
378583,FRAME_START,0
378601,GUARDIAN_START,0
378603,GUARDIAN_END,1480
378603,FRAME_START,0
378621,GUARDIAN_START,0
378623,GUARDIAN_END,1481
378623,FRAME_START,0
378641,GUARDIAN_START,0
378643,GUARDIAN_END,1481
378643,FRAME_START,0
378661,GUARDIAN_START,0
378663,GUARDIAN_END,1482
378663,FRAME_START,0
378681,GUARDIAN_START,0
378683,GUARDIAN_END,1481
378683,FRAME_START,0
378701,GUARDIAN_START,0
378703,GUARDIAN_END,1481
378703,FRAME_START,0
378721,GUARDIAN_START,0
378723,GUARDIAN_END,1481
378723,FRAME_START,0
378741,GUARDIAN_START,0
378743,GUARDIAN_END,1481
378743,FRAME_START,0
378761,GUARDIAN_START,0
378763,GUARDIAN_END,1481
378763,FRAME_START,0
378781,GUARDIAN_START,0
