GATE: ABORT conf= 15 E=    0 C=     0 ZCR=  4 T=1461us noise=    0 wakes= 1/50
SCHED: wcet=1521us avg=1462us duty=0.73% irq_latGUARDIAN_START,0
146648,GUARDIAN_END,1482
146648,FRAME_START,0
146666,GUARDIAN_START,0
146668,GUARDIAN_END,1482
146668,FRAME_START,0
146686,GUARDIAN_START,0
146688,GUARDIAN_END,1482
146688,FRAME_START,0
146707,GUARDIAN_START,0
146708,GUARDIAN_END,1482
146708,FRAME_START,0
146727,GUARDIAN_START,0
146728,GUARDIAN_END,1482
146728,FRAME_START,0
146747,GUARDIAN_START,0
146748,GUARDIAN_END,1482
146748,FRAME_START,0
146766,GUARDIAN_START,0
146768,GUARDIAN_END,1482
146768,FRAME_START,0
146786,GUARDIAN_START,0
146788,GUARDIAN_END,1482
146788,FRAME_START,0
146807,GUARDIAN_START,0
146808,GUARDIAN_END,1482
146808,FRAME_START,0
146827,GUARDIAN_START,0
146828,GUARDIAN_END,1482
RAW: min=   -18 max=    37 samples[0..3]=15 15 14 16
RES0: min=    -4 max=     4
GATE: ABORT conf= 15 E=    0 C=  3990 ZCR= 12 T=1482us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=4236/5950  miss_rate=71.19%
147163,FRAME_START,0
147171,GUARDIAN_START,0
147172,GUARDIAN_END,1481
147172,FRAME_START,0
147173,GUARDIAN_START,0
147175,GUARDIAN_END,1480
147175,FRAME_START,0
147176,GUARDIAN_START,0
147177,GUARDIAN_END,1480
147177,FRAME_START,0
147178,GUARDIAN_START,0
147180,GUARDIAN_END,1481
147180,FRAME_START,0
147180,GUARDIAN_START,0
147182,GUARDIAN_END,1481
147182,FRAME_START,0
147187,GUARDIAN_START,0
147188,GUARDIAN_END,1482
147188,FRAME_START,0
147207,GUARDIAN_START,0
147208,GUARDIAN_END,1482
147208,FRAME_START,0
147226,GUARDIAN_START,0
147228,GUARDIAN_END,1481
147228,FRAME_START,0
147246,GUARDIAN_START,0
147248,GUARDIAN_END,1481
147248,FRAME_START,0
147266,GUARDIAN_START,0
147268,GUARDIAN_END,1481
147268,FRAME_START,0
147287,GUARDIAN_START,0
147288,GUARDIAN_END,1482
147288,FRAME_START,0
147307,GUARDIAN_START,0
147308,GUARDIAN_END,1482
147308,FRAME_START,0
147327,GUARDIAN_START,0
147328,GUARDIAN_END,1481
147328,FRAME_START,0
147346,GUARDIAN_START,0
147348,GUARDIAN_END,1481
147348,FRAME_START,0
147366,GUARDIAN_START,0
147368,GUARDIAN_END,1482
147368,FRAME_START,0
147387,GUARDIAN_START,0
147388,GUARDIAN_END,1482
147388,FRAME_START,0
147407,GUARDIAN_START,0
147408,GUARDIAN_END,1481
147408,FRAME_START,0
147427,GUARDIAN_START,0
147428,GUARDIAN_END,1481
147428,FRAME_START,0
147446,GUARDIAN_START,0
147448,GUARDIAN_END,1482
147448,FRAME_START,0
147466,GUARDIAN_START,0
147468,GUARDIAN_END,1481
147468,FRAME_START,0
147486,GUARDIAN_START,0
147488,GUARDIAN_END,1481
147488,FRAME_START,0
147507,GUARDIAN_START,0
147508,GUARDIAN_END,1481
147508,FRAME_START,0
147527,GUARDIAN_START,0
147528,GUARDIAN_END,1481
147528,FRAME_START,0
147547,GUARDIAN_START,0
147548,GUARDIAN_END,1481
147548,FRAME_START,0
147566,GUARDIAN_START,0
147568,GUARDIAN_END,1482
147568,FRAME_START,0
147586,GUARDIAN_START,0
147588,GUARDIAN_END,1481
147588,FRAME_START,0
147607,GUARDIAN_START,0
147608,GUARDIAN_END,1482
147608,FRAME_START,0
147627,GUARDIAN_START,0
147628,GUARDIAN_END,1481
147628,FRAME_START,0
147647,GUARDIAN_START,0
147648,GUARDIAN_END,1482
147648,FRAME_START,0
147666,GUARDIAN_START,0
147668,GUARDIAN_END,1482
147668,FRAME_START,0
147686,GUARDIAN_START,0
147688,GUARDIAN_END,1482
147688,FRAME_START,0
